date,ticker,exchange,open,high,low,close,volume,avg_volume_reported
2026-01-05,ADS.DE,XETRA,168.9500,171.3000,165.9500,169.9000,558052,
2026-01-05,AFX.DE,XETRA,39.7200,40.4200,39.4600,40.3800,161660,
2026-01-05,AIR.DE,XETRA,205.6000,210.5000,205.6000,208.1500,255087,
2026-01-05,AIXA.DE,XETRA,20.0000,20.6300,20.0000,20.4000,945402,
2026-01-05,ALV.DE,XETRA,389.8000,392.7000,385.0000,392.7000,526248,
2026-01-05,BAYN.DE,XETRA,38.4000,39.0600,37.7900,38.2000,4000960,
2026-01-05,BC8.DE,XETRA,44.2400,45.0400,43.5400,44.8800,191802,
2026-01-05,BMW.DE,XETRA,96.3000,97.3000,93.3600,93.6200,862493,
2026-01-05,CBK.DE,XETRA,36.8000,36.8400,35.5800,36.4900,2362894,
2026-01-05,CON.DE,XETRA,68.9000,69.1000,67.5600,67.7200,445845,
2026-01-05,DBK.DE,XETRA,33.7900,34.0150,33.3850,33.8100,4908527,
2026-01-05,DHER.DE,XETRA,22.9100,23.1000,21.3200,21.4100,762458,
2026-01-05,ENR.DE,XETRA,125.0000,129.7500,124.1000,127.5500,2111286,
2026-01-05,EOAN.DE,XETRA,16.3900,16.5400,16.1550,16.3450,3751432,
2026-01-05,EVT.DE,XETRA,5.5640,5.6420,5.3840,5.5100,1024565,
2026-01-05,FRE.DE,XETRA,47.7500,48.1900,47.4700,47.6900,428579,
2026-01-05,HAG.DE,XETRA,78.2500,82.7500,78.2500,82.6500,667852,
2026-01-05,HFG.DE,XETRA,6.0000,6.0420,5.5220,5.5220,1999248,
2026-01-05,HNR1.DE,XETRA,259.0000,259.2000,251.2000,257.0000,208511,
2026-01-05,IFX.DE,XETRA,38.7350,40.1500,38.7350,39.9100,4237754,
2026-01-05,JEN.DE,XETRA,20.2800,20.9600,20.2800,20.7800,167477,
2026-01-05,KGX.DE,XETRA,70.0500,70.2500,68.4000,70.2500,405265,
2026-01-05,LHA.DE,XETRA,8.5980,8.6580,8.4760,8.6560,3752611,
2026-01-05,MBG.DE,XETRA,61.6000,62.3400,60.2500,60.4400,2373348,
2026-01-05,MRK.DE,XETRA,121.4000,123.3000,120.7500,123.1500,226153,
2026-01-05,MTX.DE,XETRA,375.0000,379.7000,371.7000,373.1000,116434,
2026-01-05,MUV2.DE,XETRA,543.6000,544.2000,529.8000,540.0000,307236,
2026-01-05,NDX1.DE,XETRA,30.4000,31.4000,29.3800,31.3600,957771,
2026-01-05,NEM.DE,XETRA,90.0500,92.7500,89.7000,92.6500,158831,
2026-01-05,P911.DE,XETRA,47.6000,48.4400,46.7800,46.8000,470653,
2026-01-05,PUM.DE,XETRA,22.5000,22.7900,21.6600,22.4500,978191,
2026-01-05,QIA.DE,XETRA,40.6632,41.0421,40.4316,40.9158,611634,
2026-01-05,RHM.DE,XETRA,1683.0000,1752.0000,1680.0000,1752.0000,385736,
2026-01-05,RWE.DE,XETRA,46.9000,47.2400,46.2400,47.2400,1851472,
2026-01-05,S92.DE,XETRA,36.0000,37.7000,35.7800,37.0000,102131,
2026-01-05,SAP.DE,XETRA,200.2000,206.2000,199.6000,206.2000,1313820,
2026-01-05,SHL.DE,XETRA,44.0800,45.0800,44.0200,44.9000,876314,
2026-01-05,SIE.DE,XETRA,242.3500,246.0500,241.5000,244.6000,893745,
2026-01-05,SRT3.DE,XETRA,251.3000,254.5000,244.4000,254.5000,130047,
2026-01-05,SZG.DE,XETRA,45.0000,45.8200,43.8600,44.7600,194458,
2026-01-05,TKA.DE,XETRA,9.8500,10.1800,9.8400,10.0250,3654109,
2026-01-05,TUI1.DE,XETRA,9.0400,9.1160,8.8380,8.9860,2930806,
2026-01-05,VOW3.DE,XETRA,106.2000,106.6000,102.9500,103.3500,947385,
2026-01-05,WAF.DE,XETRA,52.2000,55.5500,52.1500,55.0000,131758,
2026-01-05,ZAL.DE,XETRA,24.7100,24.8200,23.8200,24.6000,1285899,
2026-01-06,ADS.DE,XETRA,163.7000,164.0500,157.0000,163.7500,1999082,
2026-01-06,AFX.DE,XETRA,40.8600,42.6400,40.5800,42.3400,288165,
2026-01-06,AIR.DE,XETRA,208.8500,209.3500,206.3500,209.3000,213438,
2026-01-06,AIXA.DE,XETRA,20.8000,21.3700,20.4100,21.3700,821934,
2026-01-06,ALV.DE,XETRA,392.6000,396.0000,391.2000,391.3000,358718,
2026-01-06,BAYN.DE,XETRA,38.5000,38.6150,37.9100,38.0400,4091529,
2026-01-06,BC8.DE,XETRA,44.7000,44.9600,44.3600,44.8200,109819,
2026-01-06,BMW.DE,XETRA,93.6600,94.4000,92.7200,93.0400,686232,
2026-01-06,CBK.DE,XETRA,36.9000,37.2400,35.5900,35.9900,2811031,
2026-01-06,CON.DE,XETRA,67.2800,68.1400,67.2600,68.0400,257769,
2026-01-06,DBK.DE,XETRA,34.2500,34.2600,33.4100,33.4100,4273546,
2026-01-06,DHER.DE,XETRA,21.5400,22.4000,21.3300,22.4000,657601,
2026-01-06,ENR.DE,XETRA,127.6500,129.0000,126.0500,127.3000,1892103,
